"Site_ID","Site_Name","Site_Lon","Site_Lat"
"S00003","宜蘭國小",121.7544022,24.7528992
"S00004","港坪國小",120.4243011,23.4790993
"S00005","南安國中",121.8686981,24.5758991
"S00006","光復國小",121.4274979,23.6737003
"S00007","玉東國中",121.3703003,23.4172001
"S00008","芳和國中",121.5496979,25.0191002
"S00014","育人國小",120.4164963,23.4726009
"S00015","新興國小",120.7266006,24.2047005
"S00018","東和國小",120.6053009,23.8675003
"S00019","稻香國小",121.5689011,23.9629993
"S00020","嘉南國小",120.3649979,23.2175007
"S00021","頭社國小",120.9024963,23.8374004
"S00022","碧潭國小",121.1026993,24.7467995
"S00023","獅潭國小",120.9209976,24.5401001
"S00024","公館國小",121.5432968,25.0128002
"S00027","初來國小",121.1690979,23.1172009
"S00028","豐里國小",121.1222992,22.7367001
"S00030","赤山國小",120.6143036,22.5916996
"S00031","新庄國小",120.5598984,22.9888992
"S00032","溪洲國小",120.4654007,22.8474007
"S00034","民義國小",121.3757019,24.9112396
"S00035","月眉國小",121.7568970,25.1255302
"S00043","三興國小",120.4819031,23.5579605
"S00044","桃源國小",120.5859985,23.4735107
"S00045","和平國小",121.7485962,24.3080101
"S00046","富世國小",121.6292038,24.1476498
"S00047","長良國小",121.2860031,23.2842598
"S00048","富源國小",121.3755035,23.5786095
"S00049","豐裡國小",121.5078964,23.8413391
"S00050","南安國小",121.8677979,24.5786591
"S00052","嘉蘭國小",120.9617004,22.5953007
"S00053","安朔國小",120.8678970,22.2940102
"S00054","興隆國小",121.2482986,22.8953304
"S00055","龍田國小",121.1243973,22.9039402
"S00056","春日國小",120.6268005,22.3702202
"S00057","楓林國小",120.7065964,22.1993408
"S00058","大平國小",120.7204971,22.0232105
"S00059","口社國小",120.6445007,22.7661095
"S00060","忠義國小",120.3839035,22.6161995
"S00061","嘉誠國小",120.3800964,22.7482300
"S00062","永清國小",120.2873993,22.6745796
"S00063","北嶺國小",120.2692032,22.8233795
"S00064","德高國小",120.2358017,22.9629097
"S00065","塭內國小",120.1651001,23.1253395
"S00066","仁光國小",120.2574997,23.2999592
"S00067","大興國小",120.2105026,23.5660095
"S00068","宏崙國小",120.3482971,23.6869202
"S00069","興華國小",120.3953018,23.8914604
"S00070","華龍國小",120.5139999,24.0379696
"S00071","康榔國小",120.5456009,24.2643509
"S00072","七星國小",120.7114029,24.3016491
"S00073","興隆國小",120.8123016,24.4631310
"S00074","三灣國小",120.9552994,24.6558495
"S00075","育仁國小",120.4873962,23.7585506
"S00076","百吉國小",121.3104019,24.8234100
"S00077","壽山國小",121.3641968,25.0029697
"S00078","文武國小",120.6004028,24.3362293
"S00079","吉峰國小",120.7189026,24.0799599
"S00080","中和國小",120.8283005,24.1571293
"S00081","土牛國小",120.8077011,24.2661209
"S00082","光榮國小",120.6968002,23.9460907
"S00083","長福國小",120.8880005,24.0929203
"S00084","廣福國小",120.7593994,23.8994007
"S00085","瑞竹國小",120.6664963,23.6636600
"S00086","鳳凰國小",120.7808990,23.7425194
"S00087","同富國小",120.8876038,23.5939503
"S00088","福興武術國小",120.7276001,24.4253292
"S00089","清安國小",120.9263000,24.4398994
"S00090","那拔國小",120.3495026,23.0687408
"S00091","仙草國小",120.4736023,23.3443508
"S00092","西埔國小",120.4460983,23.0462093
"S00093","崁頂國小",120.5114975,22.5142097
"S00094","德協國小",120.5411987,22.6941891
"S00095","頭洲國小",121.1417999,24.9627495
"S00096","青草湖國小",120.9787979,24.7693405
"S00097","瑞峰國小",121.1222000,24.6617908
"S00098","尖石國小",121.2259979,24.7286606
"S00099","照東國小",121.1416016,24.8451500
"S00100","福龍國小",121.0360031,24.9304199
"S00101","瑞峰國小",120.5955963,23.1734505
"S00102","達邦國小",120.7491989,23.4533901
"S00103","灣內國小",120.3125992,23.5006199
"S00104","麒麟國小",120.9901962,23.9304790
"S00105","清境國小",121.1587982,24.0447693
"S00106","士林國小",120.9301987,24.3479691
"S00107","僑文國小",120.7480011,24.5624695
"S00108","同榮國小",121.4276962,25.0533695
"S00109","陽明山國小",121.5523987,25.1198997
"S00110","桃源國小",121.4834976,25.1395493
"S00111","永定國小",121.6880035,25.0079803
"S00112","上林國小",121.8323975,25.0291405
"S00113","大鵬國小",121.6510010,25.2080898
"S00114","直潭國小",121.5313034,24.9377708
"S00115","梗枋國小",121.8621979,24.9001694
"S00116","萬富國小",121.6880035,24.6799107
"S00117","南山國小",121.3803024,24.4374199
"S00118","堵南國小",121.6923981,25.0834904
"S00119","蘭嶼高中",121.5117035,22.0482597
"S00120","蘭嶼國小",121.5627975,22.0195599
